8/22/2015,50,rotten,James Berardinelli,Sinister 2,"Although Sinister 2 continues the story begun in Scott Derrickson's creepily effective Sinister, it feels more like an unnecessary retread than an organic extension of the original."
8/21/2015,50,rotten,Rafer Guzman,Sinister 2,"Creepy kids and sick jokes make for meager scares, but Ransone is likable as the film's beleaguered hero."
8/21/2015,25,rotten,John Semley,Sinister 2,Nothing in Sinister 2 comes across as believably scary.
8/19/2015,20,rotten,Katharine Pushkar,Sinister 2,Baghuul ... looks like the lead singer in a Norwegian forest metal band.
8/19/2015,50,rotten,Kyle Smith,Sinister 2,"A serviceable if somewhat redundant horror sequel that dribbles out its secrets slowly, ""Sinister 2"" doesn't have a particularly satisfying end - it's somehow both too drawn-out and abrupt - but it's got creepiness galore."
6/5/2015,75,fresh,Christy Lemire,Insidious: Chapter 3,"I leapt out of my seat and grabbed the arm of the critic sitting next to me so often (and he did the same, although he shall remain nameless) that you'd think we'd never seen a horror movie before."
6/4/2015,75,fresh,Brad Wheeler,Insidious: Chapter 3,"The result is a warm-hearted frightening, about love and loss and, yes, next chapters."
6/4/2015,60,fresh,Kerry Lengel,Insidious: Chapter 3,"""Insidious: Chapter 3"" is almost more a spoof of a classic like ""The Exorcist"" than it is an homage. It's not scary horror, it's silly horror, and the audience is in on the joke."
6/4/2015,0,rotten,Michael Ordona,Insidious: Chapter 3,"""Insidious: Chapter 3"" is simply not scary. Not a bit, not a whit. Except that the audience will be terrified of the next stabbing of their eardrums, at generally predictable intervals."
6/4/2015,40,rotten,Cath Clarke,Insidious: Chapter 3,Don't expect any spills or chills: this is more insipid than insidious.
6/4/2015,60,fresh,Katharine Pushkar,Insidious: Chapter 3,"""I was scared at least 10 times,"" I heard someone say upon leaving the theater. Not bad."
8/24/2015,40,rotten,Cath Clarke,Hitman: Agent 47,"Agent 47 doesn't feel like a character who's got what it takes to be a franchise hero - he, and the film, are lacking in personality."
8/21/2015,50,rotten,James Berardinelli,Hitman: Agent 47,Only a bare minimum of non-action scenes were included in the final cut. There's enough here to piece together a rudimentary storyline but the details are often either confusing or nonsensical.
8/21/2015,75,fresh,Calum Marsh,Hitman: Agent 47,"The friction between stateliness and lunacy is more intriguing than, say, the line-toeing mediocrity of a second-rate Marvel movie."
