1,,93,The Martian,1,54.3,54.3,0.0142,3831
2,1,48,Hotel Transylvania 2,2,33.2,33.2,0.0088,3754
3,10,93,Sicario,1,12.1,15.1,0.0046,2620
4,2,60,The Intern,2,11.7,36.6,0.0035,3320
5,3,50,Maze Runner: The Scorch Trials,3,7.8,63.4,0.0024,3319
6,5,76,Black Mass,3,5.8,52.5,0.0021,2768
7,4,72,Everest,3,5.6,33.3,0.0019,3009
8,6,63,The Visit,4,4.0,57.7,0.0017,2296
9,8,37,War Room,6,2.8,60.6,0.0016,1746
10,7,19,The Perfect Guy,4,2.4,52.6,0.0018,1364
12,,87,The Walk,,1.6,1.6,0.0035,448
13,9,38,The Green Inferno,2,1.3,6.0,0.851,1543
14,14,17,Pixels,11,0.5,77.8,0.0014,331
15,11,45,A Walk In The Woods,6,0.4,28.4,0.811,553
16,15,93,Grandma,7,0.4,5.9,0.0012,315
17,12,72,Pawn Sacrifice,2,0.4,2.1,0.551,671
18,13,92,Mission: Impossible Rogue Nation,10,0.3,194.1,0.882,377
19,19,54,Minions,13,0.3,333.9,0.0012,265
20,20,71,Jurassic World,17,0.3,650.8,0.0012,254
22,16,90,Straight Outta Compton,8,0.2,0.2,0.88,281
23,21,98,Inside Out,16,0.2,353.9,0.963,249
24,35,59,Sleeping with Other People,4,0.2,0.6,0.497,391
25,28,84,Meet The Patels,4,0.2,0.7,0.0024,72
27,27,67,The Man From U.N.C.L.E.,8,0.1,45.3,0.49,266
28,22,80,Ant-Man,12,0.1,178.5,0.666,195
29,25,80,Veteran,4,0.1,1.0,0.0041,31
30,30,67,Learning To Drive,7,0.1,3.2,0.996,115
31,29,27,Vacation,11,0.1,58.7,0.566,202
32,37,79,Goodnight Mommy,4,0.1,0.5,0.0025,43
34,55,91,99 Homes,2,0.0989,0.1,0.0052,19
35,41,99,Shaun the Sheep,10,0.0968,19.2,0.512,189
36,31,86,Trainwreck,12,0.0821,109.9,0.57,144
37,53,59,Southpaw,11,0.0788,52.3,0.26,303
38,23,69,Un gallo con muchos huevos,5,0.0774,9.0,0.691,112
39,24,25,90 Minutes In Heaven,4,0.0747,4.7,0.522,143
40,32,9,Fantastic Four,9,0.0711,56.0,0.542,131
41,18,24,Captive,3,0.0634,2.6,0.48,132
42,26,45,No Escape,7,0.0624,27.0,0.599,104
43,,67,He Named Me Malala,1,0.0609,0.0609,0.0152,4
44,56,91,Coming Home,5,0.0593,0.2,0.0011,55
45,40,99,Phoenix,11,0.0578,3.0,0.917,63
46,33,16,The Transporter Refueled,5,0.0574,15.9,0.412,139
47,66,89,Mississippi Grind,2,0.0457,0.0621,0.993,46
48,34,93,The Gift,9,0.0433,43.8,0.527,82
49,39,74,Avengers: Age of Ultron,23,0.041,459.0,0.477,86
1,--,93,The Martian,2,54.3,54.3,0.0142,3831
2,1,49,Hotel Transylvania 2,3,33.2,33.2,0.0088,3754
3,10,93,Sicario,2,12.1,15.1,0.0046,2620
4,2,60,The Intern,3,11.7,36.6,0.0035,3320
5,3,49,Maze Runner: The Scorch Trials,4,7.8,63.4,0.0024,3319
6,5,75,Black Mass,4,5.8,52.5,0.0021,2768
7,4,72,Everest,4,5.6,33.3,0.0019,3009
8,6,62,The Visit,5,4.0,57.7,0.0017,2296
9,8,36,War Room,7,2.8,60.6,0.0016,1746
10,7,19,The Perfect Guy,5,2.4,52.6,0.0018,1364
12,--,86,The Walk,1,1.6,1.6,0.0035,448
13,9,38,The Green Inferno,3,1.3,6.0,0.851,1543
14,14,17,Pixels,12,0.5,77.8,0.0014,331
15,11,45,A Walk In The Woods,6,0.4,28.4,0.811,553
16,15,93,Grandma,8,0.4,5.9,0.0012,315
17,12,72,Pawn Sacrifice,3,0.4,2.1,0.551,671
18,13,93,Mission: Impossible Rogue Nation,11,0.3,194.1,0.882,377
19,19,54,Minions,14,0.3,333.9,0.0012,265
20,20,71,Jurassic World,18,0.3,650.8,0.0012,254
22,16,90,Straight Outta Compton,9,0.2,0.2,0.88,281
23,21,98,Inside Out,17,0.2,353.9,0.963,249
24,35,59,Sleeping with Other People,5,0.2,0.6,0.497,391
